SampleID,Spike-in-Label,Spike-in-Con. ,Spike-in-added,Experiment,Hratio,Day_charactor,Day,Replicates
CE1H0D8R4,A,0.001,0.5,CE1,H0,D8,8,R4
CE1H0D8R5,A,0.001,0.5,CE1,H0,D8,8,R5
CE1H100D8R1,B,0.001,1,CE1,H100,D8,8,R1
CE1H100D8R2,B,0.001,1,CE1,H100,D8,8,R2
CE1H100D8R3,B,0.001,1,CE1,H100,D8,8,R3
CE1H100D8R4,B,0.001,1,CE1,H100,D8,8,R4
CE1H100D8R5,B,0.001,1,CE1,H100,D8,8,R5
CE1H25D8R1,B,0.001,1,CE1,H25,D8,8,R1
CE1H25D8R2,B,0.001,1,CE1,H25,D8,8,R2
CE1H25D8R3,B,0.001,1,CE1,H25,D8,8,R3
CE1H25D8R4,B,0.001,1,CE1,H25,D8,8,R4
CE1H25D8R5,B,0.001,1,CE1,H25,D8,8,R5
CE1H5D8R1,B,0.001,1,CE1,H5,D8,8,R1
CE1H5D8R2,B,0.001,1,CE1,H5,D8,8,R2
CE1H5D8R3,B,0.001,1,CE1,H5,D8,8,R3
CE1H5D8R4,B,0.001,1,CE1,H5,D8,8,R4
CE1H5D8R5,B,0.001,1,CE1,H5,D8,8,R5
CE2H0D8R1,B,0.001,1,CE2,H0,D8,8,R1
CE2H0D8R2,B,0.001,1,CE2,H0,D8,8,R2
CE2H0D8R3,B,0.001,1,CE2,H0,D8,8,R3
CE2H0D8R4,B,0.001,1,CE2,H0,D8,8,R4
CE2H0D8R5,B,0.001,1,CE2,H0,D8,8,R5
