Feature ID,D0,D1,D2,D3,D4,D5,D6
204ce5af9a1c4ed5266ad69344832787,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales,D_4__Enterobacteriaceae,D_5__Escherichia-Shigella,NA
1f68cf49c244a299a4c6035262323b73,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Staphylococcaceae,D_5__Staphylococcus,NA
0309bca49ee7c60a6c46a965ba0abd9e,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
05bc07820cc9d8ed7c72dd70a9dad6eb,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
393ca71f23f215ca636274a584c0fe34,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,NA
e33186aa1fd314bb4b0e755a15d14a5c,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
e553475bfa5a5e0418bb36fff5635ef5,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales,D_4__Enterobacteriaceae,D_5__Escherichia-Shigella,NA
561059d625ad500c1035c1b483beb2e0,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
11eda1c4801dddba5f7542c1c1f9ce5d,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
6f62404d85948a72189e4ddeff77d4d5,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,NA
12d401a3ff98b1126b133a32ccc25679,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales,D_4__Enterobacteriaceae,D_5__Escherichia-Shigella,NA
28c50d8abbe845d772810e388c3b6f65,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales,D_4__Enterobacteriaceae,D_5__Escherichia-Shigella,NA
b0638ec3d712ee7e776057f0352b655f,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales,D_4__Enterobacteriaceae,D_5__Escherichia-Shigella,NA
3e10b1ad2e1468063dfaa6872055b795,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales,D_4__Enterobacteriaceae,D_5__Escherichia-Shigella,NA
f37ccb7112479a2d87249c2613c2635b,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
80bfbc6be6087e2550f0d297773603cb,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,NA
157ce011866da992ff262991f6a6faba,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,NA
6513ff267985946f94dfa50c7152da25,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
ca9001043a5c17943d0900d572d9238a,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
c890a19e77ec78ced7b5578837906139,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Novosphingobium,NA
813beff2ab6c3c30b28a0badc8558bd8,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micrococcales,D_4__Micrococcaceae,D_5__Arthrobacter,NA
8e8d081b25551494d4d6e0a80f3ba544,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
5e064937b137d7b97bd18eefb10eff74,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
05dddf5cef09255f29f1ac2cea8a8b7e,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micrococcales,D_4__Micrococcaceae,D_5__Kocuria,NA
326b58542b10bd3094ecb3d61963e6bf,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
326b52bd6dd087d8d8300fcb8b60872b,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
370affe8d2fc935a508f5f85b18a8016,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
08730fc50794a34652f603023543ecb2,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Pseudomonadaceae,D_5__Pseudomonas,NA
a3dec95197433a594253b5e1af897d7c,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,NA
c3a75e1e3103d958de08e8eb302ba6ce,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
24ef8c9229fc85e6c2bf18cf6f1796da,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
c2c3e48ea3aa7b9cd61f38cab8bac944,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
0a97b7d92216fb33ba439dac45b91ab5,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
8b1310f5939dedce913b99383cb36913,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
5bb759f8f99e08a4579bc73253aa7c52,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
817e7f2a22569de59c1ad060e97488a9,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
276b747c6e7e55ed784a655042040903,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
b645ea149d64562e32e7d8a8e8992e7d,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
fc3f8c620abff1e69bbc8e2a0781455c,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
7109c90d5d12abaaa2fa739e98ce839d,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
162e0fcc4e274c7018dd2b0eb2aceae8,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
0826a7851599401a6afa6e35602f84d4,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
